amplitude,duration,energy,rms,rise_time,counts,label
0.000811367,0.003096,4203.756514,1.09E-05,4.49E-05,274,0
0.000482558,0.0031243,3628.279584,1.02E-05,0.000264,222,0
0.000477991,0.0015789,1620.127308,1.09E-05,4.23E-05,129,0
0.000372955,0.0020767,1487.248049,1.27E-05,0.0001835,125,0
0.000193328,0.0007587,273.9437388,1.15E-05,0.000211,16,0
0.000165927,0.0004276,181.6729223,1.34E-05,0.0001936,16,0
0.000191805,0.0006769,170.8739867,1.04E-05,4.00E-06,13,0
0.001173666,0.0050922,15709.85181,1.16E-05,0.0011842,541,0
0.000427756,0.003616,2619.281989,1.05E-05,0.0010224,263,0
0.000415578,0.0036861,2015.948284,1.03E-05,0.0016828,208,0
0.000304453,0.0016396,934.5435769,1.05E-05,0.0002573,80,0
0.000307497,0.0010599,484.8258983,9.60E-06,6.20E-06,40,0
0.000129392,0.0004839,122.4728728,1.05E-05,0.0004738,4,0
0.004703797,0.0074266,87415.2263,7.53E-06,0.0001185,871,0
0.003061274,0.008435,114127.4988,8.91E-06,0.0003349,845,0
0.001543576,0.0062769,38086.86915,6.83E-06,0.0002859,671,0
0.000375999,0.0009062,654.5635794,8.45E-06,5.28E-05,59,0
0.00019485,0.0002914,174.2080089,8.79E-06,0.0002842,16,0
0.000138526,0.0006608,205.030357,8.79E-06,4.83E-05,14,0
0.000270963,0.0005546,292.8077655,9.64E-06,3.14E-05,22,0
0.000126348,0.0006836,167.6959645,1.02E-05,0.000361,7,0
0.000382088,0.0016553,1192.397361,1.20E-05,0.0003106,113,0
0.000232906,0.0006908,318.8550161,1.15E-05,0.0001562,26,0
0.000117214,0.0004858,136.1623014,1.15E-05,3.00E-07,4,0
0.002837501,0.0056287,28738.02826,9.88E-06,5.24E-05,587,0
0.00092097,0.004388,7906.607743,1.01E-05,0.000409,419,0
0.000129392,0.0002763,91.41490274,1.15E-05,0.0001503,2,0
0.000129392,0.0007018,176.6245701,1.30E-05,0.000477,10,0
0.000115692,0.0005468,153.7297589,1.24E-05,0.0005287,11,0
0.000342509,0.0025967,899.1884269,9.84E-06,3.45E-05,77,0
0.000368388,0.0036525,2114.523979,1.26E-05,0.0015251,208,0
0.00020855,0.0009156,365.5425415,1.07E-05,0.0004767,30,0
0.00028923,0.0011655,568.0749541,1.01E-05,0.0001731,72,0
0.000155271,0.0013022,202.2588799,1.01E-05,0.0002001,10,0
0.000220728,0.0012341,207.6748468,1.11E-05,0.0001585,15,0
0.00016136,0.0009586,172.8228264,9.65E-06,2.00E-06,12,0
0.000165927,0.0013683,425.7887078,7.22E-06,0.0001756,36,0
0.000251174,0.0021692,807.4363123,7.86E-06,0.0002339,71,0
